Amenity,Type,Latitude,Longitude
Admiralty MRT Station,Rail Station,1.440588562,103.8009905
Aljunied MRT Station,Rail Station,1.316432612,103.882906
Ang Mo Kio MRT Station,Rail Station,1.36993285,103.8495581
Bakau LRT Station,Rail Station,1.387994311,103.9054153
Bangkit LRT Station,Rail Station,1.38002223,103.7726474
Bartley MRT Station,Rail Station,1.342501178,103.8801779
Bayfront MRT Station,Rail Station,1.281873789,103.8590798
Beauty World MRT Station,Rail Station,1.341718464,103.7754136
Bedok MRT Station,Rail Station,1.320401487,103.9571838
Bedok North MRT Station,Rail Station,1.334742117,103.9179783
Bedok Reservoir MRT Station,Rail Station,1.33660783,103.9322346
Bencoolen MRT Station,Rail Station,1.298918434,103.8503538
Bendemeer MRT Station,Rail Station,1.313672528,103.8629776
Bishan MRT Station,Rail Station,1.351315801,103.8491403
Boon Keng MRT Station,Rail Station,1.319943392,103.8617463
Boon Lay MRT Station,Rail Station,1.338530909,103.7059113
Botanic Gardens MRT Station,Rail Station,1.322387,103.8153855
Braddell MRT Station,Rail Station,1.340469001,103.8467991
Bras Basah MRT Station,Rail Station,1.296752622,103.8509188
Bright Hill MRT Station,Rail Station,1.363846766,103.8338992
Buangkok MRT Station,Rail Station,1.38287002,103.8931226
Bugis MRT Station,Rail Station,1.300465085,103.8557067
Bukit Batok MRT Station,Rail Station,1.348932281,103.7494922
Bukit Gombak MRT Station,Rail Station,1.358662721,103.7519133
Bukit Panjang MRT Station,Rail Station,1.378612055,103.7614059
Buona Vista MRT Station,Rail Station,1.307223708,103.7902535
Caldecott MRT Station,Rail Station,1.337245613,103.8401618
Canberra MRT Station,Rail Station,1.443076641,103.8297026
Cashew MRT Station,Rail Station,1.369815449,103.7644392
Changi Airport MRT Station,Rail Station,1.357478974,103.9878836
Cheng Lim LRT Station,Rail Station,1.396277633,103.8937972
Chinatown MRT Station,Rail Station,1.284223919,103.8451438
Chinese Garden MRT Station,Rail Station,1.342244948,103.7327666
Choa Chu Kang MRT Station,Rail Station,1.385363165,103.7443708
City Hall MRT Station,Rail Station,1.293186737,103.8524138
Clarke Quay MRT Station,Rail Station,1.287452114,103.8461192
Clementi MRT Station,Rail Station,1.315116253,103.7651915
Commonwealth MRT Station,Rail Station,1.302501999,103.7982285
Compassvale LRT Station,Rail Station,1.394493045,103.9004925
Coral Edge LRT Station,Rail Station,1.393909229,103.9125808
Cove LRT Station,Rail Station,1.399281988,103.9059619
Dakota MRT Station,Rail Station,1.308547984,103.8890647
Damai LRT Station,Rail Station,1.405234836,103.9086035
Dhoby Ghaut MRT Station,Rail Station,1.298655224,103.8461942
Dover MRT Station,Rail Station,1.311405293,103.7786378
Downtown MRT Station,Rail Station,1.279446382,103.8528408
Esplanade MRT Station,Rail Station,1.293657725,103.8550812
Eunos MRT Station,Rail Station,1.319783549,103.9032258
Expo MRT Station,Rail Station,1.335382526,103.9623747
Fajar LRT Station,Rail Station,1.384573177,103.7708872
Farmway LRT Station,Rail Station,1.397170196,103.8893048
Farrer Park MRT Station,Rail Station,1.3131403,103.8547547
